Date,Product Name,Ingredient,Quantity Sold,Temperature,Day of Week,Holiday,Promotion
2023-05-04,Mousse,Eggs,232,37,Thursday,1,0
2023-07-24,Classic Lemonade,Lemon,77,29,Monday,1,0
2023-11-04,Salad,Lettuce,180,19,Saturday,1,1
2023-11-12,Cafe Latte,Espresso,121,22,Sunday,0,0
2023-12-07,Cappuccino,Foam,297,39,Thursday,1,1
2023-07-14,Iced Coffee,Ice,202,28,Friday,0,0
2023-09-01,Iced Mocha,Milk,274,16,Friday,0,0
2023-07-31,Herbal Tea,Herbs,234,39,Monday,0,0
2023-05-12,Watermelon Mojito,Mint,129,34,Friday,1,1
2023-01-01,Breve,Espresso,203,32,Sunday,0,0
2023-06-28,Cheesecake Shake,Milk,226,18,Wednesday,1,0
2023-04-17,Turmeric Ginger Cappuccino,Milk,107,36,Monday,0,1
2023-04-19,Pasta,Tomato,279,36,Wednesday,1,1
2023-09-24,Chocolate Fantasy Cake Shake,Chocolate Cake,254,17,Sunday,0,1
2023-02-22,Donut,Flour,66,40,Wednesday,0,0
2023-09-02,Affogato,Espresso,105,20,Saturday,1,0
2023-09-11,Pineapple Delight Pastry,Butter,205,26,Monday,1,1
2023-09-15,Flat White,Espresso,223,38,Friday,1,1
2023-10-25,Red Velvet Cake Shake,Red Velvet Cake,89,19,Wednesday,1,1
2023-01-07,Red Velvet Cake Shake,Red Velvet Cake,64,21,Saturday,1,0
2023-10-23,Muffin,Eggs,249,38,Monday,1,1
2023-01-12,Cappuccino,Espresso,271,40,Thursday,0,0
2023-10-20,Soup,Stock,292,35,Friday,1,0
2023-06-08,Iced Mocha,Espresso,191,18,Thursday,1,0
2023-10-27,Cupcake,Sugar,276,15,Friday,0,0
2023-03-22,Scone,Sugar,83,23,Wednesday,1,0
2023-01-25,Peach Iced Tea,Ice,214,34,Wednesday,0,0
2023-03-25,Burrito,Beans,103,18,Saturday,0,1
2023-04-03,Iced Latte,Espresso,159,28,Monday,0,1
2023-11-02,Macchiato,Espresso,291,30,Thursday,1,1
2023-06-09,Muffin,Eggs,67,16,Friday,0,0
2023-04-23,Iced Mocha,Espresso,242,19,Sunday,0,1
2023-12-18,Crunchy Frappe,Ice,91,37,Monday,0,0
2023-02-06,Vanilla Latte,Milk,256,23,Monday,0,1
2023-02-12,Cutlet,Spices,156,34,Sunday,0,0
2023-08-17,Watermelon Mojito,Watermelon,148,24,Thursday,0,0
2023-12-14,Cake,Flour,59,20,Thursday,1,1
2023-02-15,Chocolate Fantasy Cake Shake,Milk,103,25,Wednesday,0,0
2023-05-05,Flat White,Milk,121,29,Friday,0,0
2023-05-29,Filter Coffee,Coffee,245,31,Monday,0,1
2023-08-27,Red Velvet Cake Shake,Milk,130,36,Sunday,1,1
2023-04-24,Cake,Eggs,184,23,Monday,0,0
2023-02-18,Soup,Vegetables,173,19,Saturday,0,0
2023-01-11,Salad,Cucumber,211,20,Wednesday,1,0
2023-09-26,Tropical Iceberg,Coconut,73,28,Tuesday,0,0
2023-02-17,Hazelnut Brownie Cake Shake,Hazelnut,105,38,Friday,1,1
2023-04-13,Croissant,Butter,214,25,Thursday,0,0
2023-01-21,Pasta,Cheese,296,20,Saturday,1,0
2023-01-12,Cappuccino,Milk,218,21,Thursday,1,0
2023-06-22,Breve,Espresso,92,35,Thursday,0,0
2023-07-02,Panini,Cheese,74,28,Sunday,0,1
2023-01-01,Breve,Cream,244,40,Sunday,1,0
2023-12-03,Pizza,Cheese,237,20,Sunday,1,0
2023-05-22,Salad,Lettuce,249,33,Monday,1,0
2023-07-03,Dark Frappe,Ice,77,31,Monday,0,0
2023-03-10,Popcorn,Corn,102,22,Friday,1,0
2023-07-10,Ginger Tea,Tea,285,27,Monday,0,1
2023-05-14,Pudding,Sugar,251,25,Sunday,1,0
2023-11-14,Dark Frappe,Coffee,281,28,Tuesday,1,0
2023-06-04,Pizza,Dough,125,32,Sunday,1,1
2023-07-27,Crunchy Frappe,Chocolate,199,18,Thursday,0,0
2023-11-21,Tropical Iceberg,Ice,152,22,Tuesday,1,1
2023-09-07,Chocolate Fantasy Cake Shake,Milk,95,26,Thursday,0,1
2023-07-25,Tropical Iceberg,Ice,194,17,Tuesday,1,0
2023-05-27,Iced Tea Latte,Ice,127,23,Saturday,0,0
2023-09-18,Cake,Flour,225,38,Monday,0,1
2023-09-22,Cookie,Sugar,87,24,Friday,0,1
2023-10-20,Soup,Stock,292,35,Friday,1,0
2023-12-14,Cake,Sugar,178,36,Thursday,0,1
2023-09-12,Sandwich,Cheese,262,15,Tuesday,1,1
2023-05-19,Panini,Cheese,253,19,Friday,0,1
2023-05-30,Turmeric Ginger Cappuccino,Milk,61,15,Tuesday,0,1
2023-03-31,Croissant,Flour,222,34,Friday,0,1
2023-11-02,Macchiato,Milk,193,39,Thursday,1,0
2023-07-17,Tropical Iceberg,Coconut,175,33,Monday,0,0
2023-03-14,Iced Tea Latte,Ice,98,40,Tuesday,1,1
2023-08-14,Tropical Iceberg,Ice,208,19,Monday,1,1
2023-08-08,Masala Tea,Spices,118,33,Tuesday,0,1
2023-02-07,Vanilla Latte,Milk,152,38,Tuesday,0,1
2023-06-21,Earl Grey Orange Tea,Tea,283,24,Wednesday,0,1
2023-06-22,Breve,Cream,273,33,Thursday,1,1
2023-10-16,Muffin,Eggs,144,21,Monday,0,1
2023-08-25,Pasta,Cheese,223,25,Friday,0,0
2023-02-04,Croissant,Yeast,245,35,Saturday,1,0
2023-01-22,Muffin,Flour,60,21,Sunday,1,1
2023-12-31,Cake,Sugar,79,16,Sunday,1,0
2023-01-22,Muffin,Sugar,172,40,Sunday,0,1
2023-02-27,Quiche,Eggs,185,39,Monday,1,1
2023-06-10,Crackling Brownie Pastry,Flour,266,16,Saturday,1,1
2023-06-23,Macchiato,Milk,187,40,Friday,0,0
2023-11-22,Elaichi Tea,Cardamom,168,21,Wednesday,0,1
2023-06-14,Flat White,Milk,253,23,Wednesday,0,0
2023-07-12,Americano,Coffee,114,15,Wednesday,1,0
2023-03-12,Macchiato,Milk,210,26,Sunday,0,0
2023-01-19,Cupcake,Flour,138,16,Thursday,1,1
2023-09-05,Long Black,Coffee,75,31,Tuesday,1,1
2023-06-24,Cake,Sugar,287,38,Saturday,0,0
2023-07-17,Tropical Iceberg,Pineapple,111,21,Monday,1,1
2023-07-11,Peach Iced Tea,Peach,125,31,Tuesday,0,0
2023-03-24,Pineapple Delight Pastry,Flour,136,35,Friday,0,0
2023-06-30,Pineapple Delight Pastry,Flour,50,36,Friday,0,0
2023-04-25,Pudding,Sugar,293,17,Tuesday,1,1
2023-11-06,Pasta,Tomato,295,32,Monday,0,0
2023-11-28,Red Eye,Espresso,131,33,Tuesday,1,1
2023-04-12,Muffin,Eggs,208,18,Wednesday,0,0
2023-10-29,Macaron,Almond Flour,79,29,Sunday,0,1
2023-01-05,Breve,Milk,144,25,Thursday,1,0
2023-12-04,Espresso,Milk,258,28,Monday,0,1
2023-06-06,Bagel,Yeast,112,34,Tuesday,1,0
2023-01-28,Iced Cappuccino,Espresso,192,38,Saturday,0,0
2023-06-11,Hazelnut Brownie Cake Shake,Brownie,194,36,Sunday,0,0
2023-08-10,Cutlet,Meat,59,38,Thursday,0,0
2023-07-15,Classic Lemonade,Water,283,24,Saturday,1,0
2023-01-21,Pasta,Cheese,296,20,Saturday,1,0
2023-01-02,Flat White,Milk,115,18,Monday,0,0
2023-08-24,Affogato,Espresso,222,40,Thursday,0,1
2023-12-06,Tropical Iceberg,Coconut,123,23,Wednesday,0,0
2023-09-25,Eclair,Chocolate,220,28,Monday,0,1
2023-12-25,Iced Cappuccino,Ice,59,22,Monday,0,1
2023-05-08,Popcorn,Corn,114,40,Monday,1,0
2023-07-30,Cafe Latte,Espresso,224,25,Sunday,0,0
2023-04-26,Baguette,Yeast,210,22,Wednesday,1,0
2023-03-30,Mousse,Cream,269,15,Thursday,0,1
2023-02-08,Mango Frappe,Ice,139,16,Wednesday,0,1
2023-11-25,Espresso,Coffee,221,28,Saturday,1,1
2023-07-07,Panini,Ham,94,38,Friday,1,1
2023-02-17,Hazelnut Brownie Cake Shake,Brownie,218,32,Friday,1,1
2023-11-26,Tacos,Tortilla,118,31,Sunday,0,0
2023-07-29,Mousse,Eggs,181,37,Saturday,0,1
2023-03-19,Affogato,Ice Cream,93,36,Sunday,1,1
2023-06-29,Pudding,Sugar,107,21,Thursday,0,1
2023-11-16,Eclair,Chocolate,128,25,Thursday,0,0
2023-10-17,Iced Latte,Espresso,87,34,Tuesday,0,1
2023-05-25,Long Black,Water,123,36,Thursday,0,0
2023-09-11,Pineapple Delight Pastry,Flour,264,17,Monday,1,1
2023-01-01,Breve,Milk,202,38,Sunday,0,0
2023-09-16,Granola Bar,Honey,268,15,Saturday,1,1
2023-04-28,Tropical Iceberg,Coconut,227,32,Friday,0,1
2023-07-29,Mousse,Eggs,181,37,Saturday,0,1
2023-04-04,Iced Cappuccino,Espresso,69,37,Tuesday,0,0
2023-07-15,Classic Lemonade,Lemon,65,17,Saturday,1,1
2023-08-23,Red Eye,Milk,136,34,Wednesday,0,1
2023-06-18,Espresso,Coffee,200,39,Sunday,0,0
2023-01-24,Lemon Green Coffee,Green Tea,169,25,Tuesday,1,1
2023-01-16,Iced Cappuccino,Milk,257,38,Monday,1,1
2023-12-21,Dark Frappe,Ice,150,23,Thursday,1,1
2023-12-29,Tropical Iceberg,Coconut,66,15,Friday,1,0
2023-08-11,Salad,Tomato,50,39,Friday,1,1
2023-09-01,Iced Mocha,Espresso,163,16,Friday,0,1
2023-02-24,Filter Coffee,Coffee,65,25,Friday,1,1
2023-08-01,Watermelon Mojito,Ice,88,34,Tuesday,1,0
2023-04-13,Croissant,Yeast,126,26,Thursday,0,0
2023-04-16,Crackling Brownie Pastry,Flour,149,17,Sunday,1,1
2023-03-19,Affogato,Espresso,101,32,Sunday,0,0
2023-11-21,Tropical Iceberg,Pineapple,130,30,Tuesday,0,1
2023-12-05,Earl Grey Orange Tea,Tea,82,15,Tuesday,1,1
2023-07-21,Pineapple Delight Pastry,Flour,131,30,Friday,0,0
2023-01-24,Lemon Green Coffee,Lemon,217,37,Tuesday,1,1
2023-11-28,Red Eye,Espresso,131,33,Tuesday,1,1
2023-09-16,Granola Bar,Nuts,207,20,Saturday,0,0
2023-02-05,Brioche,Flour,131,15,Sunday,0,0
2023-03-21,Cookie,Sugar,185,28,Tuesday,1,0
2023-08-31,Mousse,Cream,206,33,Thursday,1,0
2023-01-06,Vanilla Cappuccino,Milk,135,22,Friday,1,0
2023-03-10,Popcorn,Butter,281,25,Friday,0,0
2023-04-28,Tropical Iceberg,Ice,280,20,Friday,1,1
2023-01-25,Peach Iced Tea,Ice,214,34,Wednesday,0,0
2023-01-21,Pasta,Cheese,296,20,Saturday,1,0
2023-09-23,Flavoured Ice Cream,Sugar,280,38,Saturday,1,0
2023-08-04,Vegan Shake,Almond Milk,89,26,Friday,1,1
2023-04-22,Ginger Tea,Ginger,283,16,Saturday,0,1
2023-03-09,Vegan Shake,Almond Milk,252,27,Thursday,1,0
2023-08-01,Watermelon Mojito,Lime,151,19,Tuesday,0,0
2023-06-19,Brioche,Sugar,203,30,Monday,0,0
2023-08-22,Bagel,Flour,93,39,Tuesday,1,0
2023-06-08,Iced Mocha,Milk,271,30,Thursday,0,0
2023-01-22,Muffin,Sugar,172,40,Sunday,0,1
2023-08-19,Baguette,Yeast,190,21,Saturday,0,1
2023-06-28,Cheesecake Shake,Cheesecake,240,21,Wednesday,0,1
2023-08-02,Ginger Tea,Tea,70,16,Wednesday,0,1
2023-01-01,Breve,Milk,202,38,Sunday,0,0
2023-04-13,Croissant,Flour,127,32,Thursday,0,1
2023-06-20,Mousse,Eggs,83,20,Tuesday,1,1
2023-06-24,Cake,Sugar,287,38,Saturday,0,0
2023-05-25,Long Black,Coffee,104,29,Thursday,0,1
2023-10-03,Long Black,Coffee,52,27,Tuesday,0,0
2023-04-25,Pudding,Milk,181,24,Tuesday,0,1
2023-04-11,Pizza,Cheese,293,31,Tuesday,0,0
2023-01-30,Breve,Milk,147,27,Monday,0,0
2023-06-05,Masala Tea,Spices,58,32,Monday,1,1
2023-11-16,Eclair,Cream,222,24,Thursday,0,1
2023-09-28,Red Eye,Espresso,220,40,Thursday,1,1
2023-08-13,Gourmet Belgian Hot Chocolate,Chocolate,76,38,Sunday,0,1
2023-09-08,Cake,Sugar,173,27,Friday,0,0
2023-09-15,Flat White,Milk,293,30,Friday,0,0
2023-07-10,Ginger Tea,Tea,285,27,Monday,0,1
2023-07-24,Classic Lemonade,Sugar,205,29,Monday,1,1
2023-05-12,Watermelon Mojito,Watermelon,107,35,Friday,0,1
2023-12-20,Iced Cappuccino,Ice,290,17,Wednesday,0,0
2023-09-26,Tropical Iceberg,Ice,226,18,Tuesday,0,0
2023-10-24,Popcorn,Corn,138,37,Tuesday,0,1
2023-07-16,Tropical Iceberg,Ice,260,38,Sunday,0,0
2023-09-22,Cookie,Sugar,87,24,Friday,0,1
2023-06-13,Pizza,Cheese,226,39,Tuesday,0,1
2023-12-20,Iced Cappuccino,Espresso,82,33,Wednesday,1,0
2023-01-01,Breve,Espresso,203,32,Sunday,0,0
2023-12-24,Red Eye,Espresso,69,31,Sunday,1,1
2023-09-23,Flavoured Ice Cream,Sugar,280,38,Saturday,1,0
2023-07-25,Tropical Iceberg,Ice,194,17,Tuesday,1,0
2023-02-04,Croissant,Flour,89,26,Saturday,0,0
2023-03-14,Iced Tea Latte,Milk,247,19,Tuesday,0,0
2023-09-07,Chocolate Fantasy Cake Shake,Milk,95,26,Thursday,0,1
2023-09-08,Cake,Flour,92,17,Friday,1,1
2023-12-04,Espresso,Coffee,216,35,Monday,0,0
2023-06-05,Masala Tea,Spices,58,32,Monday,1,1
2023-05-17,Pineapple Delight Pastry,Pineapple,227,18,Wednesday,0,0
2023-09-22,Cookie,Sugar,87,24,Friday,0,1
2023-01-08,Popcorn,Corn,291,20,Sunday,1,0
2023-05-12,Watermelon Mojito,Watermelon,107,35,Friday,0,1
2023-08-09,Masala Tea,Spices,108,18,Wednesday,0,1
2023-03-06,Donut,Flour,56,18,Monday,1,0
2023-06-17,Lemon Green Coffee,Coffee,244,29,Saturday,1,0
2023-12-09,Tropical Iceberg,Pineapple,230,18,Saturday,1,0
2023-07-16,Tropical Iceberg,Pineapple,182,35,Sunday,1,0
2023-11-13,Cheesecake Shake,Cheesecake,232,39,Monday,1,0
2023-12-22,Donut,Eggs,231,31,Friday,0,0
