TransactionID,Items,TotalCost,UserID
40,"Cupcake, Herbal Tea, Donut, Peach Iced Tea, Alphonso Mango Frappe, Gourmet Belgian Cold Chocolate, Scone, Danish",1560,6033
41,"Soup, Herbal Tea, Bagel, Affogato, Elaichi Tea, Espresso, Masala Tea",1230,2286
42,"Hot Tea Latte, Watermelon Granita, Iced Tea Latte",690,7837
43,"Macaron, Baguette",350,7717
44,"Cappuccino, Long Macchiato, Flavoured Ice Cream, Vanilla Latte, Cortado, Cookie, Pizza",1630,7652
45,"Masala Tea, Earl Grey Orange Tea, Bagel, Flat White, Crunchy Frappe",1010,5528
46,"Cocoa Fantasy Pastry, Gourmet Belgian Cold Chocolate",500,4535
47,"Elaichi Tea, Macchiato, Black Eye",560,5818
48,"Pineapple Delight Pastry, Popcorn, Cupcake, Macaron, Ginger Tea, Sandwich, Lemon Cake Shake, Tropical Iceberg",1540,9216
49,"Long Macchiato, Americano, Turmeric Ginger Cappuccino",680,646
50,Long Macchiato,220,6197
51,Red Eye,180,7968
52,"Herbal Tea, Masala Tea, Gourmet Belgian Cold Chocolate, Cake, Panini",1180,4918
53,"Dark Frappe, Burrito, Black Eye, Quiche, Macchiato",1240,1195
54,"Crunchy Frappe, Iced Latte, Lemon Cake Shake, Vienna, Pasta, Cafe Latte, Flavoured Ice Cream, Peach Iced Tea",2020,5289
55,"Hot Velvet Coffee, Salad",470,2262
56,"Cookie, Iced Mocha, Filter Coffee, Long Macchiato, Chocolate Fantasy Cake Shake, Vanilla Cappuccino",1230,2338
57,"Iced Mocha, Iced Tea Latte",530,5272
58,Chocolate Fantasy Cake Shake,270,3824
59,"Herbal Tea, Brioche, Cutlet, Panini, Vanilla Latte, Watermelon Mojito, Cocoa Fantasy Pastry, Hot Tea Latte",1670,5915
60,"Vegan Shake, Cookie, Herbal Tea, Danish, Peach Iced Tea, Cutlet, Bagel, Lemon Cake Shake",1500,7940
61,"Gourmet Belgian Cold Chocolate, Cafe Latte, Red Eye",730,5118
62,"Black Eye, Americano, Brioche, Crackling Brownie Pastry, Eclair",880,8420
63,"Tacos, Watermelon Granita",470,8735
64,"Iced Cappuccino, Scone, Red Eye, Macchiato, Classic Lemonade, Red Velvet Cake Shake",1220,1654
65,"Cupcake, Earl Grey Orange Tea, Alphonso Mango Frappe, Lemon Green Coffee, Panini, Red Eye",1330,2756
66,"Watermelon Mojito, Cafe Latte, Herbal Tea, Baguette",810,8317
67,"Iced Mocha, Cafe Latte, Croissant, Iced Tea Latte, Quiche, Soup, Red Eye",1490,3813
68,"Sandwich, Dark Frappe, Vegan Shake, Lemon Cake Shake",1010,8753
69,"Donut, Hot Tea Latte, Baguette, Iced Latte, Pizza, Quiche, Affogato",1630,3157
70,"Long Macchiato, Eclair, Hot Velvet Coffee, Elaichi Tea, Hazelnut Brownie Cake Shake, Macchiato, Soup, Cupcake",1610,2758
71,"Herbal Tea, Lemon Green Coffee, Masala Tea",600,2892
72,"Herbal Tea, Black Eye, Long Macchiato, Crunchy Frappe, Classic Lemonade, Green Tea, Vienna, Peach Iced Tea",1630,526
73,"Quiche, Cutlet, Brownie, Pudding, Baguette, Lemon Green Coffee",1170,9157
74,"Eclair, Scone, Mousse, Affogato",750,8855
75,"Tacos, Crunchy Frappe, Scone, Sandwich",880,8465
76,"Vegan Shake, Peach Iced Tea, Black Eye, Breve, Affogato, Burrito, Dark Frappe, Eclair",1860,5626
77,"Americano, Masala Tea",360,2127
78,"Pasta, Hazelnut Brownie Cake Shake, Crunchy Frappe, Dark Frappe, Alphonso Mango Frappe",1370,5585
79,"Iced Cappuccino, Donut",380,17
80,"Muffin, Masala Tea",300,2709
81,"Iced Latte, Iced Mocha, Tacos",800,8711
82,"Macchiato, Muffin",320,898
83,"Cappuccino, Panini, Granola Bar, Watermelon Granita, Mousse, Ginger Tea, Cookie, Cupcake",1550,1643
84,"Classic Lemonade, Tropical Iceberg, Herbal Tea, Watermelon Granita, Black Eye, Green Tea, Eclair, Hot Velvet Coffee",1580,9414
85,"Cake, Red Eye, Pineapple Delight Pastry, Vanilla Cappuccino",830,1150
86,Macaron,200,9127
87,"Soup, Tacos, Mousse",600,5154
88,"Cocoa Fantasy Pastry, Salad, Crunchy Frappe",650,8484
89,"Iced Cappuccino, Vanilla Cappuccino",520,2571
90,"Cocoa Fantasy Pastry, Black Eye, Affogato",600,2798
91,"Watermelon Mojito, Long Black, Red Velvet Cake Shake, Cookie, Tacos, Pudding",1280,3949
92,"Macaron, Ginger Tea, Gourmet Belgian Hot Chocolate, Iced Coffee, Tacos, Elaichi Tea, Donut",1450,9901
93,"Donut, Scone, Cappuccino, Cutlet, Cake, Vienna, Vanilla Cappuccino, Earl Grey Orange Tea",1500,5608
94,"Espresso, Cortado, Elaichi Tea",530,4678
95,"Pizza, Croissant",450,5949
96,"Sandwich, Flat White, Scone, Baguette",760,6374
97,Red Eye,180,3010
98,"Masala Tea, Cappuccino, Burrito, Peach Iced Tea, Filter Coffee",1030,8447
99,"Pasta, Cocoa Fantasy Pastry, Muffin, Black Eye, Panini, Elaichi Tea",1240,2037
100,"Americano, Baguette, Sandwich, Herbal Tea",760,5613
101,"Iced Mocha, Crackling Brownie Pastry, Affogato, Pizza",1070,4539
102,"Muffin, Affogato, Vegan Shake, Lemon Green Coffee, Croissant, Gourmet Belgian Cold Chocolate, Pasta, Scone",1700,3923
103,"Long Black, Iced Mocha, Cookie, Watermelon Mojito, Donut, Tacos, Brownie, Herbal Tea",1530,4765
104,"Burrito, Vegan Shake, Cake",770,7871
105,"Crackling Brownie Pastry, Danish, Quiche",670,7094
106,"Cheesecake Shake, Cortado, Green Tea, Macchiato, Masala Tea, Vanilla Latte, Macaron",1500,20
107,"Eclair, Vanilla Latte, Cookie, Americano, Brownie, Popcorn, Lemon Cake Shake, Hot Tea Latte",1450,2844
108,"Popcorn, Cutlet, Filter Coffee, Green Tea, Eclair, Lemon Cake Shake, Pizza, Gourmet Belgian Hot Chocolate",1610,369
109,"Black Eye, Granola Bar, Watermelon Granita",580,4585
110,"Cheesecake Shake, Peach Iced Tea, Salad, Cocoa Fantasy Pastry, Iced Tea Latte, Cutlet, Iced Coffee, Green Tea",1700,6557
111,"Hazelnut Brownie Cake Shake, Soup, Scone, Vanilla Cappuccino, Tacos, Macchiato",1250,784
112,Lemon Cake Shake,250,9922
113,"Flavoured Ice Cream, Muffin, Cupcake, Iced Tea Latte",770,782
114,Iced Mocha,280,4945
115,"Long Macchiato, Espresso, Earl Grey Orange Tea, Hot Tea Latte, Cupcake, Lemon Green Coffee, Iced Cappuccino",1460,2592
116,"Pizza, Cookie, Masala Tea, Alphonso Mango Frappe",930,4633
117,"Eclair, Cake",400,5867
118,"Popcorn, Bagel, Cake, Burrito, Scone, Ginger Tea, Pineapple Delight Pastry",1250,1193
119,"Affogato, Burrito, Hot Tea Latte, Mousse",960,1789
120,"Eclair, Macchiato",380,3622
121,Watermelon Granita,220,5133
122,"Iced Coffee, Cortado, Iced Tea Latte, Tacos, Green Tea, Elaichi Tea, Macaron",1480,9437
123,"Burrito, Gourmet Belgian Hot Chocolate, Popcorn, Brioche, Salad, Cortado, Danish, Panini",1710,1812
124,"Green Tea, Cappuccino, Donut, Elaichi Tea, Peach Iced Tea, Cutlet, Cortado, Crunchy Frappe",1510,5830
125,"Green Tea, Mousse, Filter Coffee, Long Macchiato, Cutlet, Macchiato",1050,6007
126,"Gourmet Belgian Cold Chocolate, Vanilla Cappuccino",560,5647
127,"Pasta, Turmeric Ginger Cappuccino, Cheesecake Shake, Macchiato, Hazelnut Brownie Cake Shake, Chocolate Fantasy Cake Shake, Pizza",1950,8138
128,"Cupcake, Tacos",400,3914
129,"Flat White, Popcorn",310,3423
130,"Dark Frappe, Alphonso Mango Frappe, Iced Coffee",760,2595
131,"Tropical Iceberg, Affogato, Peach Iced Tea, Hot Velvet Coffee, Soup, Classic Lemonade, Popcorn",1340,1537
132,"Herbal Tea, Brioche, Donut, Cappuccino, Panini",920,3496
133,"Cheesecake Shake, Herbal Tea, Bagel, Breve, Quiche",1120,1797
134,"Green Tea, Macchiato, Baguette, Hazelnut Brownie Cake Shake, Long Macchiato",1030,2303
135,"Gourmet Belgian Cold Chocolate, Vienna, Vanilla Cappuccino, Burrito, Sandwich, Vanilla Latte, Granola Bar, Alphonso Mango Frappe",2080,4482
136,Masala Tea,180,7284
137,"Classic Lemonade, Dark Frappe, Ginger Tea, Pudding, Granola Bar",950,5550
138,"Iced Cappuccino, Chocolate Fantasy Cake Shake, Watermelon Granita, Sandwich, Cocoa Fantasy Pastry",1200,7466
139,"Red Eye, Long Black, Iced Latte, Hazelnut Brownie Cake Shake",930,3038
140,"Panini, Iced Tea Latte, Hot Velvet Coffee, Iced Latte, Macaron, Eclair",1430,6860
141,"Bagel, Brownie",300,5383
142,"Iced Cappuccino, Quiche, Black Eye, Cortado, Donut",1060,3986
143,"Crunchy Frappe, Soup, Cutlet, Cafe Latte, Macchiato, Pudding, Cake, Mousse",1580,5579
144,"Pudding, Iced Mocha, Panini, Hot Velvet Coffee, Green Tea, Crunchy Frappe, Cortado",1620,9607
145,Cheesecake Shake,270,5128
146,Cafe Latte,230,8213
147,"Macchiato, Turmeric Ginger Cappuccino, Iced Cappuccino, Granola Bar, Pizza, Soup",1440,6780
148,"Cortado, Cupcake, Eclair, Vegan Shake, Vienna, Macaron, Tacos, Panini",1750,6111
149,"Watermelon Granita, Lemon Green Coffee, Pineapple Delight Pastry, Scone, Breve, Red Velvet Cake Shake, Herbal Tea, Brioche",1600,2906
150,"Baguette, Chocolate Fantasy Cake Shake, Crunchy Frappe, Pasta",970,4829
151,"Turmeric Ginger Cappuccino, Iced Coffee, Pizza",850,6929
152,"Iced Coffee, Croissant, Long Macchiato, Long Black, Salad, Iced Tea Latte, Cappuccino, Iced Cappuccino",1710,371
153,"Cookie, Quiche, Hazelnut Brownie Cake Shake, Mousse, Vanilla Latte",1170,4576
154,"Cortado, Cupcake",350,9520
155,"Cafe Latte, Quiche, Cocoa Fantasy Pastry, Cappuccino, Popcorn",1010,5487
156,"Alphonso Mango Frappe, Tropical Iceberg",520,2525
157,"Pasta, Hot Velvet Coffee, Alphonso Mango Frappe, Long Black, Croissant, Breve",1350,9585
158,"Watermelon Mojito, Quiche, Iced Cappuccino, Ginger Tea, Herbal Tea",1190,9519
159,"Red Eye, Soup, Tacos, Cappuccino, Danish, Black Eye",1150,7778
160,"Vanilla Cappuccino, Salad, Pizza, Iced Cappuccino, Dark Frappe, Masala Tea",1530,7743
161,Salad,220,3656
162,"Iced Coffee, Affogato, Macchiato, Quiche, Watermelon Granita, Green Tea, Soup",1510,6731
163,Lemon Cake Shake,250,6197
164,"Masala Tea, Breve, Cutlet",550,9011
165,"Iced Tea Latte, Dark Frappe, Lemon Green Coffee, Americano, Iced Mocha, Herbal Tea, Vienna, Elaichi Tea",1810,5244
166,"Cake, Classic Lemonade, Cappuccino, Ginger Tea, Elaichi Tea, Gourmet Belgian Cold Chocolate, Salad, Tropical Iceberg",1730,5149
167,"Red Velvet Cake Shake, Salad",500,249
168,"Iced Cappuccino, Elaichi Tea, Macaron, Tropical Iceberg, Scone, Hot Velvet Coffee, Gourmet Belgian Cold Chocolate, Granola Bar",1780,9381
169,"Iced Coffee, Cupcake, Hot Velvet Coffee, Macchiato, Vegan Shake, Granola Bar",1250,1957
170,"Vienna, Macaron, Gourmet Belgian Hot Chocolate, Tacos, Espresso, Red Eye",1340,7980
171,"Sandwich, Turmeric Ginger Cappuccino, Long Black, Lemon Cake Shake, Masala Tea",1160,8976
172,"Chocolate Fantasy Cake Shake, Cutlet",420,4538
173,"Cupcake, Chocolate Fantasy Cake Shake, Brioche, Gourmet Belgian Cold Chocolate, Pineapple Delight Pastry, Watermelon Granita, Macchiato, Iced Mocha",1770,8840
174,"Lemon Cake Shake, Scone, Cafe Latte, Long Black, Quiche, Vanilla Latte",1380,4192
175,"Flat White, Iced Coffee",450,531
176,"Baguette, Cupcake, Danish",470,927
177,"Dark Frappe, Iced Coffee, Cutlet",630,7523
178,"Vienna, Lemon Green Coffee, Tropical Iceberg, Red Eye, Salad, Vegan Shake",1370,9636
179,Hazelnut Brownie Cake Shake,280,9248
180,"Long Macchiato, Classic Lemonade",370,2094
181,"Iced Coffee, Danish, Watermelon Mojito, Iced Tea Latte, Turmeric Ginger Cappuccino",1170,5923
182,"Watermelon Granita, Crunchy Frappe, Granola Bar, Vegan Shake, Vienna, Long Black",1340,8639
183,"Hazelnut Brownie Cake Shake, Burrito, Affogato, Tacos, Watermelon Granita, Cake",1510,2395
184,"Croissant, Granola Bar, Espresso, Masala Tea, Tropical Iceberg, Cutlet",1000,3080
185,"Tacos, Masala Tea",430,8510
186,"Breve, Macchiato, Chocolate Fantasy Cake Shake, Masala Tea, Salad, Panini, Espresso, Brownie",1670,3747
187,"Quiche, Soup, Cutlet, Pasta, Panini, Cafe Latte, Tacos",1660,8697
188,"Classic Lemonade, Cappuccino, Cutlet",520,6708
189,Vienna,240,7103
190,"Pizza, Earl Grey Orange Tea, Popcorn",630,8517
191,"Burrito, Filter Coffee",400,9232
192,"Sandwich, Bagel, Crackling Brownie Pastry, Turmeric Ginger Cappuccino",880,8715
193,"Eclair, Iced Mocha, Cappuccino, Iced Coffee, Turmeric Ginger Cappuccino, Iced Cappuccino",1460,80
194,"Mousse, Long Black",400,5293
195,"Hot Velvet Coffee, Eclair, Long Macchiato, Cupcake",800,4989
196,"Ginger Tea, Black Eye",360,6601
197,"Watermelon Granita, Vanilla Cappuccino",460,3278
198,"Cutlet, Panini, Sandwich, Turmeric Ginger Cappuccino, Burrito",1260,1726
199,"Iced Latte, Pineapple Delight Pastry, Masala Tea, Donut, Vanilla Latte, Vanilla Cappuccino, Watermelon Mojito, Dark Frappe",1760,2229
200,"Watermelon Mojito, Filter Coffee, Alphonso Mango Frappe, Dark Frappe, Scone, Iced Coffee, Brioche, Muffin",1500,4896
201,"Crunchy Frappe, Hot Velvet Coffee, Watermelon Granita, Long Black, Burrito",1220,9553
202,"Cheesecake Shake, Brioche, Vanilla Cappuccino, Eclair, Bagel",980,1893
203,"Macchiato, Vegan Shake, Pizza",800,6455
204,"Cake, Iced Cappuccino, Brownie, Elaichi Tea, Muffin, Eclair, Vanilla Cappuccino",1370,782
205,"Lemon Green Coffee, Granola Bar, Donut, Bagel",670,3705
206,"Panini, Brioche, Cupcake, Red Eye",750,2687
207,"Donut, Mousse, Cafe Latte, Cortado, Turmeric Ginger Cappuccino, Alphonso Mango Frappe",1290,7871
208,"Iced Latte, Lemon Green Coffee, Watermelon Granita",730,1854
209,Cutlet,150,5986
210,"Salad, Watermelon Mojito, Masala Tea",650,2890
211,"Popcorn, Cake, Cocoa Fantasy Pastry, Elaichi Tea",660,6870
212,"Lemon Green Coffee, Brioche, Tacos, Cake, Alphonso Mango Frappe",1130,494
213,"Tropical Iceberg, Lemon Green Coffee, Chocolate Fantasy Cake Shake",750,9772
214,"Herbal Tea, Granola Bar, Mousse, Eclair, Filter Coffee, Cake, Watermelon Mojito",1310,750
215,"Cheesecake Shake, Affogato, Cocoa Fantasy Pastry, Americano, Breve",1090,9182
216,"Lemon Green Coffee, Long Macchiato, Vanilla Cappuccino, Green Tea",880,6622
217,"Filter Coffee, Burrito, Cookie, Eclair, Espresso",850,4700
218,"Cafe Latte, Vanilla Cappuccino, Mousse, Crackling Brownie Pastry, Masala Tea, Sandwich",1300,9317
219,"Vanilla Cappuccino, Filter Coffee",340,3270
220,"Pizza, Chocolate Fantasy Cake Shake, Cutlet, Bagel, Herbal Tea, Earl Grey Orange Tea, Pasta",1600,6206
221,"Cutlet, Eclair, Crunchy Frappe, Popcorn, Cake, Brioche, Herbal Tea",1200,7955
222,"Long Black, Cake, Salad, Pineapple Delight Pastry, Iced Latte",1100,3441
223,"Crunchy Frappe, Chocolate Fantasy Cake Shake, Pizza, Alphonso Mango Frappe",1150,2583
224,Iced Cappuccino,280,6576
225,"Panini, Cupcake",430,1981
226,"Muffin, Iced Latte, Watermelon Mojito",640,2204
227,Tropical Iceberg,240,9121
228,"Iced Cappuccino, Black Eye, Bagel, Crackling Brownie Pastry, Popcorn, Pudding",1070,6102
229,"Cake, Ginger Tea, Pudding",580,4591
230,"Burrito, Sandwich, Pudding, Vanilla Cappuccino, Muffin",1090,8455
231,"Flavoured Ice Cream, Panini, Masala Tea, Pizza, Brownie, Lemon Green Coffee, Macchiato",1650,6288
232,"Crunchy Frappe, Popcorn, Vegan Shake",580,5427
233,"Scone, Lemon Green Coffee, Hazelnut Brownie Cake Shake, Iced Cappuccino, Mousse",1130,9005
234,"Tropical Iceberg, Croissant, Donut, Peach Iced Tea, Lemon Green Coffee",910,3847
235,"Pudding, Breve, Eclair, Donut",680,4860
236,"Bagel, Hot Velvet Coffee, Watermelon Granita, Sandwich, Popcorn, Masala Tea, Gourmet Belgian Cold Chocolate",1450,8607
237,"Cheesecake Shake, Danish, Tropical Iceberg, Hazelnut Brownie Cake Shake, Classic Lemonade, Vienna, Pizza, Pasta",2000,5079
238,"Cortado, Gourmet Belgian Cold Chocolate, Alphonso Mango Frappe, Vanilla Cappuccino",1040,3863
239,"Popcorn, Iced Cappuccino, Hot Tea Latte, Green Tea, Croissant, Affogato",1100,5818
240,"Iced Coffee, Breve, Cake, Masala Tea, Lemon Cake Shake, Brioche, Iced Tea Latte",1480,9276
241,"Iced Mocha, Lemon Cake Shake, Vegan Shake, Cheesecake Shake, Earl Grey Orange Tea",1250,3471
242,"Iced Tea Latte, Panini, Cortado, Granola Bar",910,8138
243,"Pasta, Vegan Shake, Cheesecake Shake",820,5789
244,"Hot Velvet Coffee, Cake, Vienna, Green Tea",890,545
245,"Eclair, Filter Coffee, Earl Grey Orange Tea, Pineapple Delight Pastry, Panini, Red Eye, Pudding, Muffin",1430,1832
246,"Flat White, Danish, Tropical Iceberg, Watermelon Granita, Crunchy Frappe, Cake, Espresso",1480,2151
247,"Americano, Soup, Masala Tea, Filter Coffee, Tacos, Iced Mocha, Vienna, Burrito",1680,7977
248,"Burrito, Lemon Green Coffee, Hot Tea Latte, Panini, Crackling Brownie Pastry, Pasta, Sandwich, Vanilla Latte",2060,3729
249,"Macchiato, Green Tea, Iced Cappuccino, Quiche, Hazelnut Brownie Cake Shake, Gourmet Belgian Hot Chocolate, Crackling Brownie Pastry",1760,3103
250,"Red Velvet Cake Shake, Salad, Lemon Green Coffee, Bagel, Gourmet Belgian Cold Chocolate, Donut, Filter Coffee",1410,9445
251,"Mousse, Macchiato",400,598
252,"Muffin, Hazelnut Brownie Cake Shake, Herbal Tea, Hot Velvet Coffee, Filter Coffee, Long Macchiato",1150,6140
253,Chocolate Fantasy Cake Shake,270,4744
254,"Cafe Latte, Iced Coffee, Pineapple Delight Pastry, Hot Tea Latte, Peach Iced Tea",1090,3139
255,"Cortado, Gourmet Belgian Cold Chocolate, Cake, Bagel, Black Eye",1070,6774
256,"Hot Tea Latte, Pasta, Elaichi Tea, Peach Iced Tea, Hot Velvet Coffee, Dark Frappe",1440,4153
257,Alphonso Mango Frappe,280,3649
258,"Gourmet Belgian Cold Chocolate, Hot Tea Latte, Long Macchiato, Cocoa Fantasy Pastry",940,8777
259,"Alphonso Mango Frappe, Ginger Tea, Long Black, Sandwich",910,4757
260,Cheesecake Shake,270,1901
261,"Danish, Red Velvet Cake Shake, Chocolate Fantasy Cake Shake, Tropical Iceberg",960,3869
262,"Elaichi Tea, Vegan Shake, Iced Mocha",710,8335
263,"Filter Coffee, Watermelon Granita",320,7382
264,"Quiche, Cake",520,4729
265,"Vegan Shake, Popcorn, Vanilla Cappuccino, Mousse, Bagel",920,9752
266,"Vienna, Cortado, Long Macchiato, Filter Coffee, Cutlet, Red Velvet Cake Shake, Mousse, Iced Coffee",1610,8695
267,"Red Eye, Filter Coffee, Iced Cappuccino",560,8064
268,"Scone, Black Eye, Popcorn",390,1881
269,"Turmeric Ginger Cappuccino, Elaichi Tea, Muffin, Iced Cappuccino, Vanilla Cappuccino, Cocoa Fantasy Pastry, Hot Tea Latte, Gourmet Belgian Hot Chocolate",1820,1169
270,"Donut, Red Velvet Cake Shake, Brioche, Brownie, Peach Iced Tea, Dark Frappe, Black Eye",1340,9487
271,"Scone, Ginger Tea, Sandwich, Tropical Iceberg, Soup",950,100
272,"Alphonso Mango Frappe, Long Macchiato, Crackling Brownie Pastry, Chocolate Fantasy Cake Shake, Muffin, Filter Coffee, Elaichi Tea",1370,3572
273,"Cheesecake Shake, Tropical Iceberg, Long Black, Cortado, Cookie",1030,920
274,"Breve, Cafe Latte, Hazelnut Brownie Cake Shake, Cupcake, Bagel, Danish",1200,6931
275,"Danish, Lemon Cake Shake, Iced Cappuccino, Alphonso Mango Frappe, Cake, Cheesecake Shake",1470,6793
276,"Gourmet Belgian Hot Chocolate, Crackling Brownie Pastry, Cheesecake Shake, Macaron, Red Eye, Eclair",1350,3698
277,"Brioche, Peach Iced Tea, Bagel, Scone, Quiche, Hot Tea Latte, Iced Coffee, Classic Lemonade",1540,5348
278,"Cake, Watermelon Granita, Macaron, Quiche, Cookie, Hot Velvet Coffee, Masala Tea, Black Eye",1670,2389
279,"Espresso, Brownie, Alphonso Mango Frappe, Red Velvet Cake Shake, Pasta",1160,1891
280,"Red Eye, Vienna, Iced Tea Latte, Soup, Crackling Brownie Pastry, Iced Mocha, Filter Coffee",1400,7331
281,"Flavoured Ice Cream, Iced Coffee",470,644
282,"Bagel, Crackling Brownie Pastry, Lemon Green Coffee",590,7973
283,"Pizza, Elaichi Tea, Salad, Long Macchiato, Vienna, Mousse, Cafe Latte, Filter Coffee",1740,7932
284,"Pudding, Flavoured Ice Cream, Iced Latte, Vanilla Latte, Popcorn, Pizza",1400,5705
285,"Red Eye, Chocolate Fantasy Cake Shake",450,2071
286,"Burrito, Lemon Green Coffee",540,6060
287,"Masala Tea, Scone, Pineapple Delight Pastry",500,4532
288,"Flavoured Ice Cream, Baguette, Gourmet Belgian Cold Chocolate, Brioche, Cookie, Donut, Scone",1210,5834
289,"Pudding, Iced Mocha, Pineapple Delight Pastry",650,3137
290,"Lemon Green Coffee, Baguette, Green Tea, Americano, Crunchy Frappe",1000,2971
291,"Flavoured Ice Cream, Green Tea, Soup, Iced Cappuccino, Lemon Green Coffee, Elaichi Tea, Granola Bar",1460,4443
292,"Pudding, Iced Cappuccino",460,650
293,"Crackling Brownie Pastry, Pineapple Delight Pastry",390,2837
294,"Iced Tea Latte, Long Black",450,2356
295,"Flat White, Black Eye, Earl Grey Orange Tea, Long Black, Vegan Shake, Cappuccino, Burrito",1580,3501
296,"Donut, Lemon Green Coffee, Bagel, Vanilla Latte, Brownie, Espresso, Flat White, Green Tea",1470,7836
297,Macchiato,200,866
298,Dark Frappe,260,5914
299,"Affogato, Herbal Tea, Classic Lemonade, Cheesecake Shake",840,71
300,"Iced Mocha, Breve, Alphonso Mango Frappe, Peach Iced Tea, Macchiato, Crunchy Frappe, Brownie",1610,9073
301,"Cake, Eclair, Tacos",650,8971
302,"Long Black, Sandwich, Cupcake, Quiche, Pasta",1200,686
303,"Lemon Cake Shake, Affogato, Panini, Pineapple Delight Pastry, Eclair",1140,8892
304,"Crunchy Frappe, Cutlet, Americano, Iced Mocha, Peach Iced Tea, Long Macchiato, Crackling Brownie Pastry",1510,3346
305,"Scone, Crackling Brownie Pastry, Quiche, Cookie, Lemon Cake Shake",1000,1269
306,"Pizza, Herbal Tea, Watermelon Mojito, Granola Bar, Panini, Iced Coffee, Vanilla Latte, Cocoa Fantasy Pastry",1910,6838
307,Flat White,230,621
308,Hot Tea Latte,220,587
309,"Iced Coffee, Crunchy Frappe, Brioche, Watermelon Mojito, Hot Tea Latte, Red Eye, Turmeric Ginger Cappuccino",1540,3784
310,"Dark Frappe, Popcorn, Vegan Shake, Masala Tea, Espresso",920,9996
311,"Hazelnut Brownie Cake Shake, Lemon Green Coffee, Iced Cappuccino",800,9667
312,Cafe Latte,230,6535
313,"Scone, Hot Velvet Coffee",380,1962
314,Hazelnut Brownie Cake Shake,280,6364
315,"Iced Latte, Herbal Tea, Muffin",570,6031
316,"Salad, Brownie, Alphonso Mango Frappe, Red Velvet Cake Shake, Scone, Iced Latte, Flavoured Ice Cream, Gourmet Belgian Cold Chocolate",1900,3646
317,"Muffin, Iced Tea Latte, Americano, Gourmet Belgian Hot Chocolate",870,3399
